lon;lat;ele;time
37.238768;-3.173407;1822.4;2020-01-26-11-20-54
37.238692;-3.173344;1822.5;2020-01-26-11-20-55
37.238671;-3.173325;1822.5;2020-01-26-11-20-56
37.238663;-3.173296;1822.5;2020-01-26-11-20-58
37.238656;-3.173269;1822.5;2020-01-26-11-21-07
37.238669;-3.173238;1822.4;2020-01-26-11-21-11
37.238683;-3.173214;1822.4;2020-01-26-11-21-14
37.2387;-3.173186;1822.3;2020-01-26-11-21-17
37.238718;-3.173153;1822.2;2020-01-26-11-21-21
37.238731;-3.17312;1822;2020-01-26-11-21-24
37.238746;-3.173072;1821.8;2020-01-26-11-21-26
37.238755;-3.173041;1821.6;2020-01-26-11-21-27
37.238763;-3.173012;1822.2;2020-01-26-11-21-28
37.238767;-3.172966;1823.1;2020-01-26-11-21-31
37.238774;-3.172936;1823.7;2020-01-26-11-21-35
37.23879;-3.172903;1824.3;2020-01-26-11-21-43
37.238815;-3.172879;1824.9;2020-01-26-11-21-49
37.238832;-3.172855;1825.3;2020-01-26-11-21-54
37.238849;-3.17283;1825.8;2020-01-26-11-21-59
37.238864;-3.172799;1826.4;2020-01-26-11-22-03
37.238886;-3.172766;1827.3;2020-01-26-11-22-09
37.238904;-3.172739;1828;2020-01-26-11-22-13
37.238929;-3.172713;1828.5;2020-01-26-11-22-17
37.238951;-3.172688;1828.9;2020-01-26-11-22-21
37.238967;-3.172666;1829.8;2020-01-26-11-22-24
37.238983;-3.172644;1831.3;2020-01-26-11-22-28
37.239;-3.172615;1832.9;2020-01-26-11-22-32
37.239012;-3.172587;1833.2;2020-01-26-11-22-36
37.239021;-3.172559;1833.5;2020-01-26-11-22-38
37.239026;-3.172527;1834.7;2020-01-26-11-22-42
37.239024;-3.172494;1836.2;2020-01-26-11-22-46
37.239028;-3.172462;1837.5;2020-01-26-11-22-53
37.239015;-3.172431;1839;2020-01-26-11-22-58
37.239004;-3.172397;1840.1;2020-01-26-11-23-03
37.238999;-3.172371;1840.7;2020-01-26-11-23-06
37.238984;-3.172329;1841.7;2020-01-26-11-23-10
37.238973;-3.172299;1842.5;2020-01-26-11-23-12
37.238961;-3.172275;1843.1;2020-01-26-11-23-15
37.238948;-3.172245;1843.9;2020-01-26-11-23-18
37.238935;-3.172214;1844.4;2020-01-26-11-23-21
37.238924;-3.172183;1844.9;2020-01-26-11-23-25
37.23891;-3.172158;1845.5;2020-01-26-11-23-29
37.238888;-3.172129;1846.1;2020-01-26-11-23-33
37.238859;-3.172107;1846.6;2020-01-26-11-23-38
37.238833;-3.172087;1847;2020-01-26-11-23-42
37.238806;-3.172072;1847.6;2020-01-26-11-23-45
37.238779;-3.172059;1848.3;2020-01-26-11-23-48
37.23875;-3.172043;1849.1;2020-01-26-11-23-52
37.238714;-3.172032;1849.9;2020-01-26-11-23-56
37.238676;-3.172024;1850.7;2020-01-26-11-24-00
37.238643;-3.172024;1851.5;2020-01-26-11-24-03
37.238605;-3.172017;1852.4;2020-01-26-11-24-06
37.238575;-3.17201;1853.2;2020-01-26-11-24-11
37.238542;-3.172008;1854.2;2020-01-26-11-24-15
37.2385;-3.172013;1855.6;2020-01-26-11-24-20
37.238467;-3.172016;1856.6;2020-01-26-11-24-23
37.238418;-3.172015;1857.8;2020-01-26-11-24-27
37.23839;-3.172016;1858.5;2020-01-26-11-24-30
37.238356;-3.172015;1859.2;2020-01-26-11-24-33
37.238321;-3.172009;1859.9;2020-01-26-11-24-38
37.238288;-3.172005;1860.3;2020-01-26-11-24-44
37.238258;-3.171997;1860.7;2020-01-26-11-24-47
37.238226;-3.171981;1861.2;2020-01-26-11-24-54
37.238197;-3.171979;1861.7;2020-01-26-11-24-59
37.238163;-3.171969;1862.2;2020-01-26-11-25-05
37.238135;-3.17196;1862.4;2020-01-26-11-25-09
37.238108;-3.171947;1862.7;2020-01-26-11-25-13
37.238083;-3.171926;1863.1;2020-01-26-11-25-17
37.238055;-3.171903;1863.5;2020-01-26-11-25-21
37.238028;-3.171879;1863.9;2020-01-26-11-25-25
37.237998;-3.171845;1864.6;2020-01-26-11-25-30
37.237976;-3.171828;1865;2020-01-26-11-25-33
37.237938;-3.171809;1866;2020-01-26-11-25-37
37.237902;-3.171798;1867;2020-01-26-11-25-41
37.237875;-3.171789;1867.7;2020-01-26-11-25-43
37.23784;-3.171773;1868.6;2020-01-26-11-25-46
37.237813;-3.171755;1869.4;2020-01-26-11-25-48
37.237784;-3.171732;1870.3;2020-01-26-11-25-51
37.237753;-3.171704;1871.3;2020-01-26-11-25-55
37.237727;-3.171682;1871.7;2020-01-26-11-25-59
37.237703;-3.171667;1872;2020-01-26-11-26-02
37.237673;-3.171648;1872.5;2020-01-26-11-26-08
37.237654;-3.171621;1873.1;2020-01-26-11-26-13
37.237628;-3.171598;1873.6;2020-01-26-11-26-17
37.237609;-3.17157;1874.2;2020-01-26-11-26-22
37.237596;-3.17154;1874.7;2020-01-26-11-26-26
37.237578;-3.171506;1875.2;2020-01-26-11-26-30
37.23757;-3.171471;1875.6;2020-01-26-11-26-34
37.237564;-3.171435;1876.1;2020-01-26-11-26-38
37.237567;-3.171394;1876.6;2020-01-26-11-26-43
37.237566;-3.171361;1876.8;2020-01-26-11-26-49
37.237562;-3.171334;1877;2020-01-26-11-26-53
37.237559;-3.171297;1877.6;2020-01-26-11-26-58
37.237565;-3.171263;1878.2;2020-01-26-11-27-03
37.237568;-3.171231;1878.3;2020-01-26-11-27-08
37.237566;-3.171199;1878.4;2020-01-26-11-27-12
37.237573;-3.171166;1879;2020-01-26-11-27-18
37.237589;-3.171136;1879.6;2020-01-26-11-27-24
37.237611;-3.171114;1880.1;2020-01-26-11-27-28
37.23764;-3.171094;1880.5;2020-01-26-11-27-32
37.237663;-3.171076;1881;2020-01-26-11-27-35
37.237691;-3.171062;1881.4;2020-01-26-11-27-39
37.237725;-3.171052;1882;2020-01-26-11-27-43
37.237752;-3.171045;1882.5;2020-01-26-11-27-47
37.237781;-3.17104;1883;2020-01-26-11-27-51
37.237811;-3.171031;1883.4;2020-01-26-11-27-56
37.23784;-3.171024;1883.8;2020-01-26-11-28-00
37.237868;-3.171017;1884.1;2020-01-26-11-28-06
37.237891;-3.171;1884.4;2020-01-26-11-28-10
37.237916;-3.170982;1884.7;2020-01-26-11-28-16
37.237939;-3.170966;1884.9;2020-01-26-11-28-20
37.237965;-3.170945;1885.2;2020-01-26-11-28-24
37.237988;-3.170917;1885.6;2020-01-26-11-28-30
37.238004;-3.170886;1886.2;2020-01-26-11-28-32
37.238017;-3.170854;1886.8;2020-01-26-11-28-36
37.238025;-3.170825;1887.3;2020-01-26-11-28-39
37.238028;-3.170793;1887.8;2020-01-26-11-28-43
37.238029;-3.170755;1888.3;2020-01-26-11-28-48
37.238031;-3.170723;1888.8;2020-01-26-11-28-51
37.238032;-3.170684;1889.5;2020-01-26-11-28-55
37.238027;-3.170648;1889.9;2020-01-26-11-28-58
37.238014;-3.17061;1890.1;2020-01-26-11-29-01
37.238003;-3.170577;1890.4;2020-01-26-11-29-04
37.237994;-3.17054;1891.1;2020-01-26-11-29-07
37.237984;-3.170505;1891.6;2020-01-26-11-29-10
37.237975;-3.170471;1892.2;2020-01-26-11-29-13
